ID,  Milk,PetFood,Veggies,Cereal,  Nuts,  Rice,  Meat,  Eggs,Yogurt, Chips,  Cola, Fruit
59,     8,     7,     8,     9,     3,     9,     4,     8,     4,     3,     3,     5
60,     7,     4,     8,    10,     2,    10,     4,     6,     5,     2,     2,     6
61,    10,     6,     8,    10,     4,     7,     6,     9,     6,     2,     2,     5
62,     6,     3,     4,     9,     7,     2,     6,     5,     5,     6,     8,     0
63,     8,     6,     8,     9,     4,     5,     6,     5,     5,     3,     4,     4
64,     2,     5,    10,     6,     8,     9,     0,     1,    10,     3,     1,     8
65,     6,     6,     4,     8,     8,     4,     7,     7,     4,     6,     6,     2
66,     3,     4,     9,     6,     7,     8,     1,     3,     8,     1,     1,     7
67,     6,     5,     5,     9,     6,     1,     5,     6,     5,     5,     9,     2
68,     2,     3,     7,     2,     4,     5,     5,     6,     4,     3,     9,     1
69,     2,     6,    10,     9,     4,     7,     0,     0,     8,     4,     0,     7
70,     0,     6,    10,     5,     8,     8,     1,     0,     9,     2,     0,     6
71,     8,     4,     8,     9,     3,     7,     3,     5,     5,     4,     2,     3
72,     6,     4,     9,     7,     6,     4,     6,     3,     2,     6,     8,     2
73,     9,     5,     6,     9,     2,     7,     4,     6,     6,     4,     3,     3
74,    10,     4,     6,     8,     4,    10,     4,     6,     4,     1,     1,     5
75,     5,     3,     7,     9,     7,     4,     6,     7,     5,     6,     7,     0
76,     3,     5,     7,     6,     8,     1,     5,     4,     3,     6,     8,     4
77,     2,     6,    10,     7,     8,     7,     2,     1,     9,     5,     1,     8
78,     3,     4,    10,     6,     7,     8,     0,     2,    10,     0,     2,     9
79,     8,     4,     6,     8,     3,     7,     3,     5,     4,     4,     1,     7
80,     2,     6,    10,     2,     4,     8,     3,     0,     7,     3,     1,     8
81,     9,     7,     7,     7,     3,     6,     4,     5,     4,     2,     3,     5
82,     8,     7,     8,     9,     6,     7,     5,     8,     7,     2,     4,     5
83,     5,     5,     3,     8,     5,     3,     5,     4,     3,     6,     8,     4
84,     8,     5,     7,     9,     2,     7,     6,     6,     4,     2,     0,     6
85,     7,     3,     8,     7,     6,     6,     2,     7,     5,     5,     3,     4
86,     9,     6,     7,     8,     2,     7,     5,     4,     7,     0,     4,     8
87,     4,     2,    10,     5,     5,     8,     0,     1,     9,     1,     3,    10
88,     8,     4,     7,     9,     6,     9,     4,     8,     7,     1,     3,     6
89,     3,     3,     5,     6,     6,     2,     5,     4,     4,     7,     7,     2
90,     3,     3,    10,     5,     6,     6,     2,     1,    10,     1,     2,     8
91,     6,     5,     5,     7,     7,     2,     3,     4,     2,     2,     8,     1
92,    10,     6,     7,     7,     5,     9,     3,     6,     8,     2,     4,     6
93,     9,     1,     8,     8,     4,     6,     5,     6,     6,     2,     5,     4
94,     1,     5,     9,     7,     9,     9,     1,     1,     8,     2,     2,     6
95,     2,     3,    10,     7,     9,     8,     0,     2,    10,     3,     0,     6
96,     3,     6,    10,     5,     3,     8,     1,     2,    10,     3,     2,     9
97,     3,     6,    10,     8,     7,     8,     0,     3,     7,     1,     2,     7
98,     8,     4,     9,     9,     6,     6,     3,     3,     4,     2,     2,     9
99,     9,     7,     8,     8,     1,     7,     3,     7,     8,     3,     3,     6
100,     1,     5,    10,     6,     6,     9,     0,     2,     9,     0,     1,     8
